Number of balls: 850
Area of container: 314.1592653589793
Mass 1
Radius 0.01
T,     T_dev,     v
1498.823529411765,3.32428202629046e-13,28.306232444457784
1498.823529411765,3.32428202629046e-13,11.400879314167883
1498.823529411765,3.32428202629046e-13,65.00138839442683
1498.823529411765,3.32428202629046e-13,23.941920694956696
1498.823529411765,3.32428202629046e-13,62.29744929739481
1498.823529411765,3.32428202629046e-13,37.33388010178806
1498.823529411765,3.32428202629046e-13,71.46727328105435
1498.823529411765,3.32428202629046e-13,28.5607341556407
1498.823529411765,3.32428202629046e-13,28.2293738344021
1498.823529411765,3.32428202629046e-13,73.47739327998194
1498.823529411765,3.32428202629046e-13,74.26173930820073
1498.823529411765,3.32428202629046e-13,28.29341372696704
1498.823529411765,3.32428202629046e-13,82.88982584467557
1498.823529411765,3.32428202629046e-13,75.72547293308796
1498.823529411765,3.32428202629046e-13,79.78258793311268
1498.823529411765,3.32428202629046e-13,62.50765904167305
1498.823529411765,3.32428202629046e-13,53.43645431650569
1498.823529411765,3.32428202629046e-13,55.39274389111714
1498.823529411765,3.32428202629046e-13,55.43062669610823
1498.823529411765,3.32428202629046e-13,22.02602239205611
1498.823529411765,3.32428202629046e-13,35.30038823600983
1498.823529411765,3.32428202629046e-13,45.91846681309646
1498.823529411765,3.32428202629046e-13,41.59144788308458
1498.823529411765,3.32428202629046e-13,71.77697556509969
1498.823529411765,3.32428202629046e-13,84.56657270846951
1498.823529411765,3.32428202629046e-13,49.697546843182174
1498.823529411765,3.32428202629046e-13,40.46306831681323
1498.823529411765,3.32428202629046e-13,57.38645873424141
1498.823529411765,3.32428202629046e-13,70.44546103235348
1498.823529411765,3.32428202629046e-13,50.568163794417586
1498.823529411765,3.32428202629046e-13,69.44208345545206
1498.823529411765,3.32428202629046e-13,13.186852444335763
1498.823529411765,3.32428202629046e-13,24.686055294108144
1498.823529411765,3.32428202629046e-13,117.68349909189472
1498.823529411765,3.32428202629046e-13,106.80743747105069
1498.823529411765,3.32428202629046e-13,24.091267563140534
1498.823529411765,3.32428202629046e-13,59.048214196869395
1498.823529411765,3.32428202629046e-13,59.74904284523756
1498.823529411765,3.32428202629046e-13,35.831106140300285
1498.823529411765,3.32428202629046e-13,46.04927841517973
1498.823529411765,3.32428202629046e-13,85.21672434223046
1498.823529411765,3.32428202629046e-13,58.23209517014056
1498.823529411765,3.32428202629046e-13,36.5300858093451
1498.823529411765,3.32428202629046e-13,26.011052469944747
1498.823529411765,3.32428202629046e-13,74.38742955633222
1498.823529411765,3.32428202629046e-13,72.4234470014347
1498.823529411765,3.32428202629046e-13,17.864190033256197
1498.823529411765,3.32428202629046e-13,38.29720621843474
1498.823529411765,3.32428202629046e-13,61.13854924420739
1498.823529411765,3.32428202629046e-13,68.53117277288024
1498.823529411765,3.32428202629046e-13,75.84293670783424
1498.823529411765,3.32428202629046e-13,91.30368033392371
1498.823529411765,3.32428202629046e-13,37.56414516128716
1498.823529411765,3.32428202629046e-13,42.24302345109042
1498.823529411765,3.32428202629046e-13,86.69535393145996
1498.823529411765,3.32428202629046e-13,71.13933373296254
1498.823529411765,3.32428202629046e-13,68.28624875298284
1498.823529411765,3.32428202629046e-13,60.886845038343665
1498.823529411765,3.32428202629046e-13,69.05590344286789
1498.823529411765,3.32428202629046e-13,97.29398925929358
1498.823529411765,3.32428202629046e-13,28.37758573059385
1498.823529411765,3.32428202629046e-13,23.359681561177883
1498.823529411765,3.32428202629046e-13,22.987852182034825
1498.823529411765,3.32428202629046e-13,30.0699213391685
1498.823529411765,3.32428202629046e-13,54.942861959895914
1498.823529411765,3.32428202629046e-13,33.05382685045724
1498.823529411765,3.32428202629046e-13,57.03604597061437
1498.823529411765,3.32428202629046e-13,51.46059771756152
1498.823529411765,3.32428202629046e-13,58.602318571812866
1498.823529411765,3.32428202629046e-13,51.778445051459705
1498.823529411765,3.32428202629046e-13,28.666087450537677
1498.823529411765,3.32428202629046e-13,38.10368568555924
1498.823529411765,3.32428202629046e-13,79.25676889656212
1498.823529411765,3.32428202629046e-13,105.20731233518369
1498.823529411765,3.32428202629046e-13,39.11076226807207
1498.823529411765,3.32428202629046e-13,78.88030501910688
1498.823529411765,3.32428202629046e-13,19.60006575285695
1498.823529411765,3.32428202629046e-13,78.55785732516009
1498.823529411765,3.32428202629046e-13,44.54172506125435
1498.823529411765,3.32428202629046e-13,36.163711921923976
1498.823529411765,3.32428202629046e-13,78.52248753993001
1498.823529411765,3.32428202629046e-13,47.15444001019599
1498.823529411765,3.32428202629046e-13,29.83898250106731
1498.823529411765,3.32428202629046e-13,26.57544982704141
1498.823529411765,3.32428202629046e-13,8.211415285008002
1498.823529411765,3.32428202629046e-13,59.15924499722669
1498.823529411765,3.32428202629046e-13,51.079115053311966
1498.823529411765,3.32428202629046e-13,65.33847701869556
1498.823529411765,3.32428202629046e-13,106.48436142133993
1498.823529411765,3.32428202629046e-13,63.52511850865091
1498.823529411765,3.32428202629046e-13,5.988864035551241
1498.823529411765,3.32428202629046e-13,63.595812560053595
1498.823529411765,3.32428202629046e-13,44.66599691811503
1498.823529411765,3.32428202629046e-13,48.36185787459772
1498.823529411765,3.32428202629046e-13,66.08464788859376
1498.823529411765,3.32428202629046e-13,14.585298975082884
1498.823529411765,3.32428202629046e-13,97.94580705804186
1498.823529411765,3.32428202629046e-13,40.446347727545955
1498.823529411765,3.32428202629046e-13,14.937176455073073
1498.823529411765,3.32428202629046e-13,104.65119546639319
1498.823529411765,3.32428202629046e-13,22.16796501644875
