Number of balls: 50
Mass 1
Radius 0.01
A,     T,    T_dev,     P1,    P2,    P3
78.53981633974483,444.0,1.2977807595766346e-13,361.9219745452834,350.3981126470164,355.89915657416515
95.03317777109125,444.0,1.600477456243146e-13,295.8732659829909,296.81963200584033,294.1175144148482
113.09733552923255,443.99999999999983,1.7234646446737507e-13,247.57519116001197,250.74715520574654,247.44099815322238
132.73228961416876,443.99999999999983,2.149423432228733e-13,208.00316039649707,205.9023804210406,215.26378061121426
153.93804002589985,443.9999999999998,2.770544863727643e-13,186.06992201604086,179.63908734683125,179.28576858225517
176.71458676442586,443.99999999999994,1.5616006513219264e-13,154.74757796660595,163.48847394207954,180.6087288093919
201.06192982974676,444.0,1.7439993442022261e-13,139.28599493543817,136.49862511532203,143.1566572149163
226.98006922186255,443.9999999999998,1.473091269956323e-13,123.89896029281189,123.72027745694821,125.86867093267983
254.46900494077323,444.0000000000005,3.9037326305130825e-13,105.28229724894865,108.58703394778439,110.66468254798737
283.5287369864788,444.0,2.0267688192380025e-13,98.79060110514332,99.47945098557753,95.52171335661292
314.1592653589793,443.99999999999966,2.2096069938445128e-13,87.8138463705813,91.2754735620203,90.3429082466586
346.3605900582747,444.00000000000057,2.710385986359858e-13,77.96531643187609,79.3918658808181,82.24273505006477
380.132711084365,444.00000000000006,1.4510920533794817e-13,73.19904371731981,73.353100738231,71.8431856172701
415.4756284372501,443.99999999999926,4.4708581679725763e-13,67.07896117988315,66.1051841885526,72.47218823912878
452.3893421169302,443.99999999999983,1.4249455813736396e-13,61.33602169859338,59.1578481758151,60.98541287972345
490.8738521234052,444.00000000000017,2.5787919426474534e-13,54.58011738749701,56.055324806970816,58.80062091137497
530.929158456675,444.00000000000017,2.7013050497628067e-13,49.705647177200994,50.22222480710069,53.47939365123102
572.5552611167398,443.99999999999983,2.1610084267783392e-13,48.78302623175842,47.37425725002211,47.53085294609846
615.7521601035994,444.0,1.75463698960223e-13,45.69785655880984,47.70530113783882,46.352252685674095
660.519855417254,444.00000000000006,2.1753421486733002e-13,41.223708256515266,42.63980312581828,43.737454144974386
706.8583470577034,444.00000000000034,2.3272503749407067e-13,40.17465136998123,43.90558926297951,39.731496672722905
754.7676350249478,444.00000000000006,1.4280035295472068e-13,36.60433374573269,40.08881591661241,38.416740163643716
804.247719318987,443.9999999999993,2.867989773170181e-13,33.15379703834051,36.47871803066445,34.41969341408578
855.2985999398212,444.0000000000004,2.7088899728624846e-13,32.48433266572899,33.79207853140312,33.677534904055236
907.9202768874502,444.0,1.6467386911963357e-13,29.426456090127687,33.09557868189341,30.940426564414583
962.1127501618741,444.0,1.8169050271928297e-13,29.31887719394976,28.569332466780605,28.485192506825133
1017.8760197630929,444.0,3.0265099022850053e-13,26.5361579628989,27.2945159508397,26.808934630569848
1075.2100856911068,444.0000000000005,2.6039565715725466e-13,26.402229666170353,26.783135723918715,25.499478384769038
1134.1149479459152,444.0,2.0628401874880096e-13,24.608754756573536,24.565789042369243,24.46435995178396
1194.5906065275187,444.00000000000017,1.568854020302124e-13,21.93100863270484,23.42869414972191,24.269142744490495
