Number of balls: 50
Mass 1
Radius 0.5
A,     T,    T_dev,     P1,    P2,    P3
706.8583470577034,443.9999999999999,1.5641342361179524e-13,46.20505109097016,46.59441807313741,46.83598742985233
725.8335666853858,444.00000000000017,2.0164917419993786e-13,45.28982505809749,43.887834943382494,45.150861898000635
745.0601137253552,443.99999999999983,2.479956610418778e-13,42.78493799099137,42.82452380884892,43.47426135786786
764.5379881776119,444.0,2.5819617420775e-13,42.354044558121224,41.99695238052241,42.43274027701114
784.2671900421557,444.0000000000004,4.806221153424475e-13,41.041929651210374,40.5547864317585,41.53781952770577
804.2477193189867,444.00000000000057,3.381653160525121e-13,40.790044701864915,39.62558837176106,40.436024621705904
824.4795760081049,444.0000000000003,3.4514722914617225e-13,40.67406423529568,38.92351068116627,39.10844854840686
844.9627601095101,443.9999999999999,1.8727814663516384e-13,37.52976399833896,38.19189863903676,38.02984473707135
865.6972716232028,444.0000000000001,1.9153617517738086e-13,36.688985815292305,36.465240779576824,36.81266991242221
886.6831105491825,444.0,1.5856665022876354e-13,35.88689798694821,35.48778182061497,34.90008597246084
907.9202768874495,443.9999999999996,2.0990851527564808e-13,34.60383349057795,34.86595370114824,35.03166579207255
929.4087706380036,443.9999999999996,3.91369312485329e-13,34.51462013682474,33.46017608438626,33.50974918930086
951.1485918008449,444.0000000000001,2.102023207347064e-13,33.125182584028074,33.29818666141866,33.5971121956778
973.1397403759732,444.00000000000017,3.0130122135969055e-13,32.554044578356276,32.205399568815935,31.635699025800506
995.3822163633889,443.9999999999996,2.691666433679855e-13,31.31849021427062,31.10115594049728,31.63538349822305
1017.8760197630917,444.0000000000001,2.3701320029727025e-13,31.358482210204247,31.7627508291565,31.303894543353355
1040.6211505750819,444.0000000000004,4.996407179629341e-13,29.86771900365835,29.55944337641311,30.03124793568081
1063.617608799359,444.0,1.5398692270495621e-13,29.31328143896699,29.22539586371533,29.3240540502388
1086.8653944359232,444.0000000000004,2.354443155782785e-13,28.623868089545052,28.413670470981003,28.28353163032605
1110.3645074847748,444.0000000000004,2.0361134900299354e-13,27.947028576678715,28.169723312636986,27.951650632311853
1134.1149479459136,444.00000000000045,2.663652524062694e-13,27.435594826860953,27.106889181618623,27.54801406208481
1158.1167158193396,443.99999999999955,4.32793114355814e-13,26.800831464056316,26.65436962261082,26.36555562187061
1182.3698111050526,443.9999999999999,3.711283266811667e-13,26.10737764141579,25.74378685203404,25.78423953695363
1206.874233803053,443.99999999999983,2.4491401118007133e-13,25.516111199670107,25.576881399421833,25.410785287777344
1231.6299839133403,444.00000000000017,2.300705340107782e-13,24.770449351528022,25.470395760729648,25.244882939864937
1256.637061435915,444.00000000000045,2.217315977116636e-13,24.35849647869961,24.75829765124809,24.687162919100217
1281.8954663707768,444.0000000000003,2.5288230939202783e-13,24.382449228498192,24.452986009751164,24.299588068931936
1307.405198717926,444.00000000000057,3.9223359478984826e-13,23.36588201786769,23.424936021974446,23.429390504297427
1333.166258477362,444.00000000000045,2.1079790028706764e-13,23.06615215048228,23.270275508652816,22.98537970787473
1359.1786456490854,444.0,2.1414885772576392e-13,22.89305637000365,22.849048661644265,22.30989182141225
